model,shape,size,dimensions,height,top,notes,price
Ariel,Round,XL,170 D ,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,7010
Ariel,Round,S,100 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,6150
Ariel,Round,M,120 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,7080
Ariel,Round,L,150 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,8840
Ariel,Round,XL,170 D ,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,10160
Ariel,Round,S,100 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,8060
Ariel,Round,M,120 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,9270
Ariel,Round,L,150 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,11580
Ariel,Round,XL,170 D ,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,13320
Atlantic,Rectangular,S,190 x 100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4310
Atlantic,Rectangular,M,220 x 100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5170
Atlantic,Rectangular,L,250 x 120 ,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",6030
Atlantic,Rectangular,XL,300 x 110 ,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",6890
Atlantic,Round,M,120 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",3450
Atlantic,Round,L,150 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4050
Atlantic,Round,XL,170 D ,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4790
AVA glass top,Round,S,100 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 870 Additional cost for base made in bronze: 3580 glass bonded to a bronze plate ",4520
AVA glass top,Round,M,120 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 870 Additional cost for base made in bronze: 3580 glass bonded to a bronze plate ",5200
AVA glass top,Round,L,150 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 870 Additional cost for base made in bronze: 3580 glass bonded to a bronze plate ",6490
AVA glass top,Round,XL,170 D ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 870 Additional cost for base made in bronze: 3580 glass bonded to a bronze plate ",7460
AVA stone,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,8580
AVA stone,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,9860
AVA stone,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,12330
AVA stone,Round,XL,170 D ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,14170
AVA Wood,Round,S,100 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,6540
AVA Wood,Round,M,120 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,7530
AVA Wood,Round,L,150 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,9410
AVA Wood,Round,XL,170 D ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base made in bronze: 3580,10810
Avalon glass top,Rectangular,S,190 x 100cm ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780",6160
Avalon glass top,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780",6640
Avalon glass top,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780",7950
Avalon glass top,Rectangular,XL,300 x 110,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780",9460
Avalon wood or marble top,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,8920
Avalon wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,10260
Avalon wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,11490
Avalon wood or marble top,Rectangular,XL,300 x 110,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,14750
Avalon wood or marble top,Rectangular,S,190 x 100,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,11690
Avalon wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,13440
Avalon wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,15450
Avalon wood or marble top,Rectangular,XL,300 x 110,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1380 Additional cost for base in bronze: 4780,19320
Avebury wood or marble top,Oval,S,190 x 110,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,9920
Avebury wood or marble top,Oval,M,220 x 120,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,11410
Avebury wood or marble top,Oval,L,250 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,13120
Avebury wood or marble top,Oval,XL,300 x 140,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,16390
Avebury wood or marble top,Oval,S,190 x 110,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,12990
Avebury wood or marble top,Oval,M,220 x 120,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,14940
Avebury wood or marble top,Oval,L,250 x 120 ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,17170
Avebury wood or marble top,Oval,XL,300 x 140,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 870 Additional cost for base in bronze: 3580,21470
Capricorn glass top,Oval,S,190 x110,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",6710
Capricorn glass top,Oval,M,220 x 120,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",7710
Capricorn glass top,Oval,L,250 x 120,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",8860
Capricorn glass top,Oval,XL,300 x 140,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",11080
Capricorn glass top,Rectangular,S,190 x 100,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",6160
Capricorn glass top,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",7080
Capricorn glass top,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",8140
Capricorn glass top,Rectangular,XL,300 x 110 ,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",9780
Capricorn glass top,Round,S,100 D ,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",4240
Capricorn glass top,Round,M,120 D,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",4880
Capricorn glass top,Round,L,150 D,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",6100
Capricorn glass top,Round,XL,170 D ,CMs (H75),Glass Top,"Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel:  Add. cost for a steel, brass or bronze top plate: ",7010
Capricorn wood or marble top,Oval,S,190 x110,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,9720
Capricorn wood or marble top,Oval,M,220 x 120,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,11180
Capricorn wood or marble top,Oval,L,250 x 120,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,12850
Capricorn wood or marble top,Oval,XL,300 x 140,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,16060
Capricorn wood or marble top,Oval,S,190 x110,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,12730
Capricorn wood or marble top,Oval,M,220 x 120,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,14640
Capricorn wood or marble top,Oval,L,250 x 120,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,16830
Capricorn wood or marble top,Oval,XL,300 x 140,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,21040
Capricorn wood or marble top,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,8920
Capricorn wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,10260
Capricorn wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,11800
Capricorn wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,14750
Capricorn wood or marble top,Rectangular,S,190 x 100,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,11690
Capricorn wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,13440
Capricorn wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,15450
Capricorn wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,19320
Capricorn wood or marble top,Round,S,100 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,6150
Capricorn wood or marble top,Round,M,120 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,7080
Capricorn wood or marble top,Round,L,150 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,8840
Capricorn wood or marble top,Round,XL,170 D ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,10160
Capricorn wood or marble top,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,8060
Capricorn wood or marble top,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,9270
Capricorn wood or marble top,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,11580
Capricorn wood or marble top,Round,XL,170 D ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish:  Additional cost for base in Hand-polished Stainless Steel: ,13320
Echo glass top,Rectangular,S,190 x 100,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,5480
Echo glass top,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,6300
Echo glass top,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,7240
Echo glass top,Rectangular,XL,300 x 110 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,9040
Echo wood or marble top,Rectangular,S,190 x 100,CMs (H75),Wood top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,7940
Echo wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,9120
Echo wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,10490
Echo wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,13110
Echo wood or marble top,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,10390
Echo wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,11950
Echo wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,13740
Echo wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish:  Additional cost for base in a specialist finish: 870,17170
Edge,Rectangular,S,190 x 100,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,5480
Edge,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,6300
Edge,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,7240
Edge,Rectangular,XL,300 x 110 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,9040
Edge wood or marble top,Rectangular,S,190 x 100,CMs (H75),Wood top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,6660
Edge wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,7650
Edge wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,8800
Edge wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,10990
Edge wood or marble top,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,8720
Edge wood or marble top,Rectangular,M,220 x 100  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,10020
Edge wood or marble top,Rectangular,L,250 x 100 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,11530
Edge wood or marble top,Rectangular,XL,300 x 110 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in a specialist finish: 870 Additional cost for base made in Bronze: 3560,14400
Exe glass top double pedestal,Rectangular,S,190 x 100,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,6160
Exe glass top double pedestal,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,7080
Exe glass top double pedestal,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,8140
Exe glass top double pedestal,Rectangular,XL,300 x 110 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,10170
Exe glass top single pedestal,Oval,S,190 x110,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,6710
Exe glass top single pedestal,Oval,M,220 x 120,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,7710
Exe glass top single pedestal,Oval,L,250 x 120,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,8860
Exe glass top single pedestal,Oval,XL,300 x 140,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,11080
Exe glass top single pedestal,Rectangular,S,190 x 100,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,5850
Exe glass top single pedestal,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,6720
Exe glass top single pedestal,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,7470
Exe glass top single pedestal,Rectangular,XL,300 x 110 ,CMs (H75),Glass Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,13560
Exe wood top double pedestal,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,8920
Exe wood top double pedestal,Rectangular,M,220 x 100  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,10260
Exe wood top double pedestal,Rectangular,L,250 x 100 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,11800
Exe wood top double pedestal,Rectangular,XL,300 x 110 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,14750
Exe wood top single pedestal,Oval,S,190 x110,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,9720
Exe wood top single pedestal,Oval,M,220 x 120,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,11180
Exe wood top single pedestal,Oval,L,250 x 120,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1150,12850
